IMEI,DEVICE_FID,DeviceConfig Filename,IMEI Filename
'012345670000004,3463592428,012345670000004_deviceConfig.wrapped,012345670000004_imei.wrapped
'012345670000012,1492945635,012345670000012_deviceConfig.wrapped,012345670000012_imei.wrapped
'012345670000020,3351567975,012345670000020_deviceConfig.wrapped,012345670000020_imei.wrapped
'012345670000038,1231344468,012345670000038_deviceConfig.wrapped,012345670000038_imei.wrapped
'012345670000046,767656513,012345670000046_deviceConfig.wrapped,012345670000046_imei.wrapped
'012345670000053,1822813041,012345670000053_deviceConfig.wrapped,012345670000053_imei.wrapped
'012345670000061,700377318,012345670000061_deviceConfig.wrapped,012345670000061_imei.wrapped
'012345670000079,3987582182,012345670000079_deviceConfig.wrapped,012345670000079_imei.wrapped
'012345670000087,2196483262,012345670000087_deviceConfig.wrapped,012345670000087_imei.wrapped
'012345670000095,1318014162,012345670000095_deviceConfig.wrapped,012345670000095_imei.wrapped
